Country,"Yearly Water Used(m3, thousand of liters)",Daily Water Used Per Capita(liters),Population
Afghanistan,"20,280,000,000","2,760","20,130,327"
Albania,"1,311,000,000","1,177","3,050,809"
Algeria,"9,978,000,000",669,"40,850,721"
Angola,"705,800,000",100,"19,291,161"
Antigua and Barbuda,"11,500,000",361,"87,260"
Argentina,"37,780,000,000","2,480","41,730,660"
Armenia,"2,847,000,000","2,676","2,914,963"
Australia,"16,130,000,000","1,816","24,329,963"
Austria,"3,492,000,000","1,144","8,365,092"
Azerbaijan,"12,780,000,000","3,512","9,968,510"
Bahrain,"434,400,000",832,"1,429,604"
Bangladesh,"35,870,000,000",657,"149,474,264"
Barbados,"81,000,000",826,"268,706"
Belarus,"1,452,000,000",419,"9,499,064"
Belgium,"6,005,000,000","1,522","10,812,935"
Belize,"101,000,000","1,149","240,799"
Benin,"130,000,000",48,"7,445,596"
Bhutan,"338,000,000","1,349","686,351"
Bolivia,"2,088,000,000",571,"10,016,275"
Bosnia and Herzegovina,"327,900,000",249,"3,610,859"
Botswana,"201,300,000",247,"2,234,776"
Brazil,"63,500,000,000",856,"203,218,114"
Bulgaria,"5,629,000,000","2,149","7,177,517"
Burkina Faso,"818,000,000",161,"13,932,123"
Burundi,"288,000,000",122,"6,470,194"
Cabo Verde,"22,000,000",131,"460,293"
Cambodia,"2,184,000,000",439,"13,639,028"
Cameroon,"966,400,000",178,"14,912,631"
Canada,"35,730,000,000","2,722","35,962,234"
Central African Republic,"72,500,000",46,"4,288,810"
Chad,"879,600,000",233,"10,328,092"
Chile,"35,430,000,000","5,880","16,509,195"
China,"598,100,000,000","1,174","1,396,134,174"
Colombia,"11,770,000,000",737,"43,758,808"
Comoros,"10,000,000",52,"525,886"
Congo,"46,000,000",38,"3,350,771"
Costa Rica,"3,194,000,000","1,816","4,818,038"
Croatia,"633,800,000",409,"4,242,398"
Cuba,"6,959,000,000","1,688","11,298,167"
Cyprus,"317,000,000",702,"1,237,112"
Czech Republic (Czechia),"1,635,000,000",425,"10,531,948"
Côte d'Ivoire,"1,162,000,000",130,"24,527,395"
Denmark,"652,000,000",319,"5,591,917"
Djibouti,"19,000,000",70,"747,318"
Dominica,"20,000,000",796,"68,859"
Dominican Republic,"7,156,000,000","1,996","9,820,175"
DR Congo,"683,600,000",32,"58,775,724"
Ecuador,"9,918,000,000","1,962","13,846,163"
Egypt,"77,500,000,000","2,048","103,696,057"
El Salvador,"2,118,000,000",966,"6,005,578"
Equatorial Guinea,"17,400,000",68,"703,279"
Eritrea,"582,000,000",614,"2,598,284"
Estonia,"1,720,000,000","3,585","1,314,452"
Eswatini,"1,042,000,000","2,741","1,041,414"
Ethiopia,"10,550,000,000",271,"106,718,162"
Fiji,"84,900,000",264,"882,379"
Finland,"6,562,000,000","3,414","5,266,247"
France,"29,370,000,000","1,236","65,086,855"
Gabon,"139,100,000",260,"1,463,495"
Gambia,"90,500,000",170,"1,455,084"
Georgia,"1,823,000,000","1,267","3,941,195"
Germany,"25,330,000,000",856,"81,041,582"
Ghana,"982,000,000",137,"19,637,087"
Greece,"9,630,000,000","2,389","11,045,737"
Grenada,"14,100,000",338,"114,132"
Guatemala,"3,324,000,000",681,"13,367,459"
Guinea,"553,300,000",178,"8,539,960"
Guinea-Bissau,"175,000,000",388,"1,234,741"
Guyana,"1,445,000,000","5,284","749,256"
Haiti,"1,450,000,000",410,"9,689,581"
Honduras,"1,607,000,000",618,"7,119,213"
Hungary,"5,051,000,000","1,395","9,916,623"
Iceland,"278,300,000","2,304","330,952"
India,"761,000,000,000","1,677","1,243,481,564"
Indonesia,"222,600,000,000","2,305","264,627,418"
Iran,"93,300,000,000","3,638","70,256,316"
Iraq,"38,550,000,000","2,745","38,469,627"
Ireland,"757,000,000",457,"4,533,752"
Israel,"1,954,000,000",809,"6,615,087"
Italy,"34,190,000,000","1,546","60,575,316"
Jamaica,"1,354,000,000","1,320","2,809,915"
Japan,"81,450,000,000","1,741","128,192,470"
Jordan,"1,044,000,000",286,"10,006,367"
Kazakhstan,"22,770,000,000","3,397","18,363,600"
Kenya,"4,032,000,000",229,"48,139,687"
Kuwait,"913,200,000","1,215","2,059,974"
Kyrgyzstan,"8,007,000,000","4,153","5,282,453"
Laos,"3,493,000,000","1,630","5,869,523"
Latvia,"224,400,000",314,"1,959,863"
Lebanon,"1,840,000,000",779,"6,472,469"
Lesotho,"43,800,000",60,"2,003,913"
Liberia,"130,800,000",122,"2,928,117"
Libya,"5,830,000,000","2,585","6,179,328"
Lithuania,"2,768,000,000","2,680","2,829,313"
Luxembourg,"44,000,000",207,"583,506"
Madagascar,"13,560,000,000","1,883","19,730,909"
Malawi,"1,357,000,000",290,"12,840,031"
Malaysia,"11,200,000,000","1,188","25,836,071"
Maldives,"5,900,000",48,"336,170"
Mali,"5,186,000,000","1,016","13,990,139"
Malta,"62,800,000",378,"455,269"
Mauritania,"1,350,000,000","1,258","2,939,059"
Mauritius,"725,000,000","1,599","1,242,099"
Mexico,"86,580,000,000","1,940","122,251,351"
Moldova,"1,065,000,000",758,"3,851,396"
Monaco,"5,000,000",423,"32,364"
Mongolia,"462,400,000",417,"3,040,812"
Montenegro,"160,900,000",697,"632,088"
Morocco,"10,430,000,000",880,"32,467,016"
Mozambique,"1,473,000,000",152,"26,547,572"
Myanmar,"33,230,000,000","2,010","45,290,841"
Namibia,"288,000,000",417,"1,889,970"
Nepal,"9,497,000,000",979,"26,565,425"
Netherlands,"8,919,000,000","1,435","17,030,089"
New Zealand,"5,201,000,000","3,277","4,347,770"
Nicaragua,"1,545,000,000",727,"5,819,051"
Niger,"1,747,000,000",231,"20,685,753"
Nigeria,"12,470,000,000",205,"166,642,886"
North Korea,"8,658,000,000",972,"24,396,433"
North Macedonia,"551,200,000",725,"2,081,972"
Norway,"3,026,000,000","1,761","4,709,010"
Oman,"1,321,000,000","1,531","2,363,796"
Pakistan,"183,500,000,000","2,653","189,499,113"
Panama,"1,211,000,000",823,"4,029,086"
Papua New Guinea,"392,100,000",164,"6,535,905"
Paraguay,"2,413,000,000","1,121","5,897,008"
Peru,"13,660,000,000","1,303","28,719,041"
Philippines,"85,140,000,000","2,185","106,735,719"
Poland,"10,580,000,000",758,"38,263,265"
Portugal,"9,151,000,000","2,377","10,546,825"
Puerto Rico,"4,153,000,000","3,063","3,714,836"
Qatar,"444,000,000","1,474","825,408"
Romania,"6,374,000,000",883,"19,777,051"
Russia,"69,500,000,000","1,306","145,778,677"
Rwanda,"150,000,000",50,"8,213,931"
Saint Kitts & Nevis,"15,600,000",909,"47,033"
Saint Lucia,"42,900,000",701,"167,758"
Sao Tome & Principe,"40,900,000",550,"203,689"
Saudi Arabia,"23,350,000,000","2,078","30,782,402"
Senegal,"2,221,000,000",581,"10,466,214"
Serbia,"4,707,000,000","1,810","7,126,083"
Seychelles,"13,700,000",420,"89,266"
Sierra Leone,"212,200,000",106,"5,501,712"
Slovakia,"535,000,000",270,"5,427,259"
Slovenia,"887,300,000","1,179","2,061,373"
Somalia,"3,298,000,000",912,"9,909,157"
South Africa,"15,500,000,000",777,"54,678,791"
South Korea,"29,200,000,000","1,672","47,851,644"
South Sudan,"658,000,000",175,"10,288,109"
Spain,"32,850,000,000","1,926","46,720,188"
Sri Lanka,"12,950,000,000","1,755","20,216,524"
St. Vincent & Grenadines,"8,500,000",215,"108,135"
State of Palestine,"363,600,000",215,"4,632,739"
Sudan,"26,930,000,000","2,041","36,140,806"
Suriname,"615,900,000","3,214","524,997"
Sweden,"2,689,000,000",786,"9,378,232"
Switzerland,"2,005,000,000",687,"7,998,926"
Syria,"16,760,000,000","2,441","18,814,091"
Tajikistan,"11,490,000,000","4,460","7,057,566"
Tanzania,"5,184,000,000",393,"36,121,304"
Thailand,"57,310,000,000","2,340","67,102,394"
Timor-Leste,"1,172,000,000","3,456","929,074"
Togo,"169,000,000",86,"5,413,274"
Trinidad and Tobago,"383,200,000",753,"1,394,983"
Tunisia,"4,875,000,000","1,146","11,650,498"
Turkey,"58,950,000,000","1,978","81,652,088"
Turkmenistan,"27,950,000,000","15,445","4,958,093"
Uganda,"637,000,000",57,"30,539,553"
Ukraine,"9,862,000,000",592,"45,616,832"
United Arab Emirates,"3,998,000,000","2,348","4,664,790"
United Kingdom,"8,420,000,000",350,"65,893,358"
United States,"444,300,000,000","3,732","326,126,497"
Uruguay,"3,660,000,000","3,070","3,266,206"
Uzbekistan,"54,560,000,000","4,778","31,284,568"
Venezuela,"22,630,000,000","2,242","27,649,363"
Vietnam,"82,030,000,000","2,772","81,088,313"
Yemen,"3,565,000,000",429,"22,790,085"
Zambia,"1,572,000,000",404,"10,647,949"
Zimbabwe,"3,570,000,000",764,"12,804,058"
